MFPA (t/ha),MSPA (t/ha),MFR (t/ha),MSR (t/ha),Emergência (DAS),Florescimento (DAS),Altura da planta no florescimento (m),Formação das vagens (DAS),Diâmetro coletor (cm),Número de ramos/planta,Tempo de meia vida
22.4,11.2,2.60,1.80,4,75,1.16,104,0.20,5,1140.0781
25.2,11.6,2.80,2.00,4,75,1.30,101,0.30,6,657.6244
31.6,13.8,2.80,1.80,4,75,1.25,93,0.20,5,298.4390
22.6,16.4,3.80,2.40,4,75,1.16,93,0.20,4,536.4071
44.8,12.6,4.00,1.80,4,94,1.18,104,0.40,2,235.8759
45.2,12.2,5.80,2.60,4,90,1.36,106,0.38,3,435.3952
72.2,18.6,7.20,2.60,4,90,1.49,106,0.44,3,195.7510
43.8,10.6,3.80,1.80,4,94,1.31,105,0.43,2,298.3682
9.6,5.4,2.00,1.00,2,69,1.14,80,0.10,3,193.3334
22.6,12.4,3.20,1.80,2,65,1.94,75,0.20,4,518.4957
14.6,16.4,5.20,2.20,2,61,1.93,73,0.20,4,284.1660
10.6,5.0,1.60,1.00,2,72,1.33,81,0.10,2,496.9281
55.0,25.0,0.80,0.64,5,62,0.85,130,0.60,5,101.9696
26.4,10.4,0.40,0.36,5,77,0.92,135,0.40,4,139.9660
59.4,16.4,1.20,0.82,5,57,0.95,130,0.70,5,88.9805
20.8,6.4,0.40,0.24,5,85,0.87,140,0.30,6,113.9747
86.8,30.6,6.98,2.40,4,117,1.10,128,0.30,4,201.1688
66.8,28.8,5.70,1.98,4,125,1.06,129,0.30,3,161.5727
73.6,19.6,6.08,1.94,4,121,1.07,129,0.30,5,121.1971
25.2,8.0,3.74,1.50,4,82,0.65,96,0.10,2,118.5521
14.8,6.6,2.74,1.18,4,150,1.00,160,0.10,1,226.9771
31.0,14.0,4.32,1.56,4,155,1.67,160,0.30,2,329.2550
38.4,16.6,5.86,1.96,4,155,1.81,162,0.40,1,356.7758
25.8,11.6,6.06,1.50,4,157,1.71,163,0.30,2,250.9645
17.0,6.8,1.18,0.80,5,166,0.95,180,0.60,19,205.0111
21.4,8.8,1.58,1.12,5,166,1.00,180,0.80,20,192.7337
16.6,6.8,1.40,0.90,5,167,1.00,181,0.60,22,166.1823
16.4,6.6,1.26,0.86,5,167,0.95,180,0.60,19,194.4683
